Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
genomeInfo.mm39,"Basic information about genome build mm39, including $seqLength, $gapInfo, $cytoBand, $txns (GENCODEvM33)",3.19,mm39 / GRCm39,RDA,https://www.ncbi.nlm.nih.gov/grc,11-Jan-2024,Mus musculus,10090,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/genomeInfo.mm39.rda,NA,NA
KYCG.EPICv2.TFBS.20220921,KYCG categorical database holding transcription factor binding sites,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.TFBS.20220921.rda,NA,NA
KYCG.EPICv2.HM.20221013,KYCG categorical database holding histone modifications,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.HM.20221013.rda,NA,NA
KYCG.EPICv2.Mask.20230314,KYCG categorical database holding technical masks,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.Mask.20230314.rda,NA,NA
KYCG.EPICv2.ABCompartment.20220911,KYCG categorical database holding AB compartments,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.ABCompartment.20220911.rda,NA,NA
KYCG.EPICv2.ImprintingDMR.20220818,KYCG categorical database holding imprinting differentially methylated regions,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.ImprintingDMR.20220818.rda,NA,NA
KYCG.EPICv2.ChromHMM.20220303,KYCG categorical database holding consensus ChromHMM states,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.ChromHMM.20220303.rda,NA,NA
KYCG.EPICv2.MetagenePC.20220911,KYCG categorical database holding protein coding metagenes,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.MetagenePC.20220911.rda,NA,NA
KYCG.EPICv2.CTCFbind.20220911,KYCG categorical database holding CTCF binding sites,3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/KYCG.EPICv2.CTCFbind.20220911.rda,NA,NA
EPICv2.address,"EPICv2 array probe addresses, $ordering and $controls and $hg38",3.17,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Nov-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.17.1/EPICv2.address.rda,NA,NA
age.inference,"Age Predictors, $Horvath353 based on Horvath 2013. Data frame of 353 rows each corresponding a probe. Columns include probe IDs and regression coefficients. The data is adapted from Horvath 2013 Genome Biology, $SkinBlood based on Skin and Blood age predictor developed in Horvath et al. 2018 Aging. ; $PhenoAge based on phenotypic age developed in Levine et al. 2018 Aging.",3.12,NA,RDA,https://labs.genetics.ucla.edu/horvath/htdocs/dnamage/,18-Sep-2018,Homo sapiens,9606,TRUE,Steve Horvath,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/age.inference.rda,NA,NA
EPIC.1.SigDF,EPIC SigDF object from LNCaP cell line for testing purpose,3.15,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2309170,22-Jan-2022,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,SigDF,Rda,sesameData/v1.13.1/EPIC.1.SigDF.rda,NA,NA
EPIC.5.SigDF.normal,"EPIC.seg.LNCaP.Rep1, $seg (CNSegment), $sset (SigSet)",3.14,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86829,4-Jun-2021,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/EPIC.5.SigDF.normal.rda,NA,NA
EPIC.address,"EPIC array probe addresses, $ordering, $hg38",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,22-Jan-2022,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/EPIC.address.rda,NA,NA
EPIC.addressSpecies,"EPIC array probe addresses, $ordering, $controls and and $species, species-specific",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,17-Jan-2022,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/EPIC.addressSpecies.rda,NA,NA
EPIC.probeInfo,"Basic information about probe design on EPIC platform, including $probe2chr.hg19 (factor), $mapped.probes.hg19 (GRanges), $mapped.probes.hg38 (GRanges), $typeI.extC (character), $typeI.extT (character), $mask (character), $chrY.clean (character), $chrX.xlinked (character), $mask.hg19 (character)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,15-Mar-2018,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/EPIC.probeInfo.rda,NA,NA
EPIC.publicQC,Quality control statistics for public EPIC array data,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Jan-2022,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,data.frame,Rda,sesameData/v1.13.1/EPIC.publicQC.rda,NA,NA
EPIC.tissueSignature,EPIC 79 sample summarized experiment for tissue signature,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,11-Dec-2021,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.13.1/EPIC.tissueSignature.rda,NA,NA
ethnicity.inference,"Ethnicity inference data, including $ccs.probes (character), $rs.probes (character), $model (randomForest)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,15-Mar-2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/ethnicity.inference.rda,NA,NA
genomeInfo.hg19,"Basic information about genome build hg19, including $seqLength, $gapInfo, $cytoBand, $txns (GENCODEv19)",3.15,hg19 / GRCh37,RDA,https://www.ncbi.nlm.nih.gov/grc,13-Nov-2021,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/genomeInfo.hg19.rda,NA,NA
genomeInfo.mm10,"Basic information about genome build mm10, including $seqLength, $gapInfo, $cytoBand, $txns (GENCODEvM25)",3.15,mm10 / GRCm38,RDA,https://www.ncbi.nlm.nih.gov/grc,13-Nov-2021,Mus musculus,10090,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/genomeInfo.mm10.rda,NA,NA
HM27.address,"HM27 array probe addresses, $ordering and $controls",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jun-2021,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/HM27.address.rda,NA,NA
HM27.probeInfo,"Basic information about probe design on HM27 platform, including $probe2chr.hg19, $mask, $mask.hg19 (character)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,15-Mar-2018,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM27.probeInfo.rda,NA,NA
HM450.1.TCGA.PAAD,"HM450 array of a PAAD tumor TCGA-2L-AAQA-01A-21D-A38H-05, $betas (numeric), $sset (SigSet)",3.12,NA,RDA,https://portal.gdc.cancer.gov/,18-Oct-2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/HM450.1.TCGA.PAAD.rda,NA,NA
HM450.10.SigDF,"HM450 array of 10 tumor-adjacent normal TCGA samples, list of SigDF",3.14,NA,RDA,https://portal.gdc.cancer.gov/,4-Jun-2021,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/HM450.10.SigDF.rda,NA,NA
HM450.10.TCGA.BLCA.normal,"HM450 array of 10 tumor-adjacent normal TCGA samples, list of SigSet",3.12,NA,RDA,https://portal.gdc.cancer.gov/,18-Aug-2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM450.10.TCGA.BLCA.normal.rda,NA,NA
HM450.10.TCGA.PAAD.normal,"HM450 array of 10 tumor-adjacent normal TCGA samples, matrix (beta values)",3.12,NA,RDA,https://portal.gdc.cancer.gov/,18-Aug-2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,matrix,Rda,sesameData/v1.7.2/HM450.10.TCGA.PAAD.normal.rda,NA,NA
HM450.76.TCGA.matched,"Beta Values in 76 TCGA tumor and matched normal samples assayed on HM450, $betas (matrix), $sampleInfo (data.frame)",3.12,NA,RDA,https://portal.gdc.cancer.gov/,18-Aug-2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM450.76.TCGA.matched.rda,NA,NA
HM450.address,"HM450 array probe addresses, $ordering and $controls and $hg38",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,23-Jan-2022,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/HM450.address.rda,NA,NA
HM450.addressSpecies,"HM450 array probe addresses, $ordering, $controls and and $species, species-specific",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,17-Jan-2022,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/HM450.addressSpecies.rda,NA,NA
HM450.probeInfo,"Basic information about probe design on HM450 platform, including $probe2chr.hg19, $mapped.probes.hg19, $mapped.probes.hg38, $typeI.extC, $typeI.extT, $mask, $mask.tcga, $chrY.clean, $chrX.xlinked, $mask.hg19 (character)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,15-Mar-2018,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM450.probeInfo.rda,NA,NA
KYCG.EPIC.CGI.20210713,"KYCG categorical database holding CpG island (Island, S_Shore, N_Shelf, N_Shore, S_Shelf) using CGIposition column in EPIC.hg38.manifest.CpGIsland.tsv.gz .",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,UCSC Genome Browser,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.CGI.20210713.rda,NA,NA
KYCG.EPIC.chromHMM.20211020,"KYCG categorical database holding chromHMM consensus from Roadmap, original ID: EPIC.hg19.REMC.chromHMM.tsv.gz",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,30-Oct-2021,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.chromHMM.20211020.rda,NA,NA
KYCG.EPIC.chromosome.hg19.20210630,KYCG categorical database holding CpG position by hg19 chromosomes for EPIC array,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.chromosome.hg19.20210630.rda,NA,NA
KYCG.EPIC.chromosome.hg38.20210630,KYCG categorical database holding CpG position by hg38 chromosomes for EPIC array,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-21,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.chromosome.hg38.20210630.rda,NA,NA
KYCG.EPIC.HMconsensus.20211013,"KYCG categorical database holding CpGs associated with consensus histone modifications from Cistrome/ENCODE, n_min is an attribute",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-2021,Homo sapiens,9606,TRUE,ENCODE,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.HMconsensus.20211013.rda,NA,NA
KYCG.EPIC.Mask.20220123,KYCG categorical database holding EPIC probe masking by copy number and SNP effects based on hg38 from 20220123_EPIC_masks.xlsx,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,23-Jan-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.Mask.20220123.rda,NA,NA
KYCG.EPIC.metagene.20220126,KYCG categorical database holding metagene coordinates with respect to GENCODE v36,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,26-Jan-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.metagene.20220126.rda,NA,NA
KYCG.EPIC.probeType.20211013,"KYCG categorical database holding probe type, cg, ch or rs, and infinium II, IG, IR",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-2021,Homo sapiens,9606,TRUE,Infinium Manifest,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.probeType.20211013.rda,NA,NA
KYCG.EPIC.seqContext.20210713,"KYCG categorical database holding sequence context groups, e.g., PMDsoloWCGW",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,PMID: 29610480,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.EPIC.seqContext.20210713.rda,NA,NA
KYCG.EPIC.TFBSconsensus.20211013,"KYCG categorical database holding CpGs associated with consensus TFBS from Cistrome/ENCODE, n_min is an attribute",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-21,Homo sapiens,9606,TRUE,ENCODE,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.TFBSconsensus.20211013.rda,NA,NA
KYCG.EPIC.tissueSignature.20211211,KYCG categorical database holding EPIC probes associated with tissue-specific methylation,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,11-Dec-2021,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.EPIC.tissueSignature.20211211.rda,NA,NA
KYCG.HM27.Mask.20220123,KYCG categorical database holding HM27 probe masking by copy number and SNP effects based on hg38 from 20220123_HM27_masks.xlsx,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,22-Jan-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM27.Mask.20220123.rda,NA,NA
KYCG.HM450.chromHMM.20211020,"KYCG categorical database holding HM450 chromHMM consensus from Roadmap, original ID: HM450.hg19.REMC.chromHMM.tsv.gz",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,30-Oct-2021,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.chromHMM.20211020.rda,NA,NA
KYCG.HM450.chromosome.hg19.20210630,KYCG categorical database holding CpG position by hg19 chromosomes for HM450 array,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.HM450.chromosome.hg19.20210630.rda,NA,NA
KYCG.HM450.HMconsensus.20211013,"KYCG categorical database holding CpGs associated with consensus histone modifications from Cistrome/ENCODE, n_min is an attribute",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-21,Homo sapiens,9606,TRUE,ENCODE,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.HMconsensus.20211013.rda,NA,NA
KYCG.HM450.Mask.20220123,KYCG categorical database holding HM450 probe masking by copy number and SNP effects based on hg38 from 20220123_HM450_masks.xlsx,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,23-Jan-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.Mask.20220123.rda,NA,NA
KYCG.HM450.metagene.20220126,KYCG categorical database holding metagene coordinates with respect to GENCODE v36,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,26-Jan-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.metagene.20220126.rda,NA,NA
KYCG.HM450.probeType.20211013,"KYCG categorical database holding probe type, cg, ch or rs, and infinium II, IG, IR",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-2021,Homo sapiens,9606,TRUE,Infinium Manifest,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.probeType.20211013.rda,NA,NA
KYCG.HM450.seqContext.20211013,"KYCG categorical database holding sequence context groups, e.g., PMDsoloWCGW",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-2021,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.seqContext.20211013.rda,NA,NA
KYCG.HM450.TFBSconsensus.20211013,"KYCG categorical database holding CpGs associated with consensus TFBS from Cistrome/ENCODE, n_min is an attribute",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-21,Homo sapiens,9606,TRUE,ENCODE,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.TFBSconsensus.20211013.rda,NA,NA
KYCG.HM450.tissueSignature.20211013,KYCG categorical database holding HM450 probes associated with tissue-specific methylation,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,13-Oct-21,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.HM450.tissueSignature.20211013.rda,NA,NA
KYCG.Mammal40.chromHMM.20220117,KYCG categorical database holding chromHMM consensus from Roadmap,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,17-Jan-2022,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.Mammal40.chromHMM.20220117.rda,NA,NA
KYCG.Mammal40.metagene.20220126,KYCG categorical database holding metagene coordinates with respect to GENCODE v36,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,26-Jan-22,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.Mammal40.metagene.20220126.rda,NA,NA
KYCG.MM285.chromHMM.20210210,KYCG categorical database holding chromHMM consensus from mouseENCODE,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Mus musculus,10090,TRUE,PMID: 33619351,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.MM285.chromHMM.20210210.rda,NA,NA
KYCG.MM285.chromosome.mm10.20210630,KYCG categorical database holding CpG position by mm10 chromosomes for MM285 array,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Mus musculus,10090,TRUE,GRCm,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.MM285.chromosome.mm10.20210630.rda,NA,NA
KYCG.MM285.designGroup.20210210,KYCG categorical database holding MM285 probe design categories,3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Mus musculus,10090,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.MM285.designGroup.20210210.rda,NA,NA
KYCG.MM285.HMconsensus.20220116,"KYCG categorical database holding CpGs associated with consensus histone modifications from Cistrome/ENCODE, n_min is an attribute",3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,16-Jan-2022,Mus musculus,10090,TRUE,mouseENCODE,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.MM285.HMconsensus.20220116.rda,NA,NA
KYCG.MM285.Mask.20220123,KYCG categorical database holding MM285 probe masking 20220123_MM285_masks.xlsx,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,23-Jan-2022,Mus musculus,10090,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.MM285.Mask.20220123.rda,NA,NA
KYCG.MM285.metagene.20220126,KYCG categorical database holding metagene coordinates with respect to GENCODE vM25,3.15,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,26-Jan-2022,Mus musculus,10090,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.13.1/KYCG.MM285.metagene.20220126.rda,NA,NA
KYCG.MM285.probeType.20210630,"KYCG categorical database holding Probe type database sets (rs, cg, ch) using probeID column in all_merged10.txt manifest.",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Mus musculus,10090,TRUE,Infinium Manifest,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.MM285.probeType.20210630.rda,NA,NA
KYCG.MM285.seqContext.20210630,"KYCG categorical database holding Sequence context groups, e.g., CpG island and PMDsoloWCGWs",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Mus musculus,10090,TRUE,"UCSC Genome Browser, PMID: 29610480",Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.MM285.seqContext.20210630.rda,NA,NA
KYCG.MM285.seqContextN.20210630,"KYCG numerical database holding Sequence context, numerical form, including local CpG density at different window lengths, now, only 50bp, distance to nearest TSS for each probe using bedtools closest -d with MM285_to_mm10.idx.gz and Mus_musculus.GRCm38.96.chr.gtf.tss.bed",3.14,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,12-Sep-2021,Mus musculus,10090,TRUE,GRCm,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.11.7/KYCG.MM285.seqContextN.20210630.rda,NA,NA
